"","Id","SepalLengthCm","SepalWidthCm","PetalLengthCm","PetalWidthCm","Species"
"19",19,5.7,3.8,1.7,0.3,"Iris-setosa"
"20",20,5.1,3.8,1.5,0.3,"Iris-setosa"
"21",21,5.4,3.4,1.7,0.2,"Iris-setosa"
"22",22,5.1,3.7,1.5,0.4,"Iris-setosa"
"23",23,4.6,3.6,1,0.2,"Iris-setosa"
"24",24,5.1,3.3,1.7,0.5,"Iris-setosa"
"25",25,4.8,3.4,1.9,0.2,"Iris-setosa"
"26",26,5,3,1.6,0.2,"Iris-setosa"
"27",27,5,3.4,1.6,0.4,"Iris-setosa"
"28",28,5.2,3.5,1.5,0.2,"Iris-setosa"
"29",29,5.2,3.4,1.4,0.2,"Iris-setosa"
"30",30,4.7,3.2,1.6,0.2,"Iris-setosa"
"31",31,4.8,3.1,1.6,0.2,"Iris-setosa"
"32",32,5.4,3.4,1.5,0.4,"Iris-setosa"
"33",33,5.2,4.1,1.5,0.1,"Iris-setosa"
"69",69,6.2,2.2,4.5,1.5,"Iris-versicolor"
"70",70,5.6,2.5,3.9,1.1,"Iris-versicolor"
"71",71,5.9,3.2,4.8,1.8,"Iris-versicolor"
"72",72,6.1,2.8,4,1.3,"Iris-versicolor"
"73",73,6.3,2.5,4.9,1.5,"Iris-versicolor"
"74",74,6.1,2.8,4.7,1.2,"Iris-versicolor"
"75",75,6.4,2.9,4.3,1.3,"Iris-versicolor"
"76",76,6.6,3,4.4,1.4,"Iris-versicolor"
"77",77,6.8,2.8,4.8,1.4,"Iris-versicolor"
"78",78,6.7,3,5,1.7,"Iris-versicolor"
"79",79,6,2.9,4.5,1.5,"Iris-versicolor"
"80",80,5.7,2.6,3.5,1,"Iris-versicolor"
"81",81,5.5,2.4,3.8,1.1,"Iris-versicolor"
"82",82,5.5,2.4,3.7,1,"Iris-versicolor"
"83",83,5.8,2.7,3.9,1.2,"Iris-versicolor"
"119",119,7.7,2.6,6.9,2.3,"Iris-virginica"
"120",120,6,2.2,5,1.5,"Iris-virginica"
"121",121,6.9,3.2,5.7,2.3,"Iris-virginica"
"122",122,5.6,2.8,4.9,2,"Iris-virginica"
"123",123,7.7,2.8,6.7,2,"Iris-virginica"
"124",124,6.3,2.7,4.9,1.8,"Iris-virginica"
"125",125,6.7,3.3,5.7,2.1,"Iris-virginica"
"126",126,7.2,3.2,6,1.8,"Iris-virginica"
"127",127,6.2,2.8,4.8,1.8,"Iris-virginica"
"128",128,6.1,3,4.9,1.8,"Iris-virginica"
"129",129,6.4,2.8,5.6,2.1,"Iris-virginica"
"130",130,7.2,3,5.8,1.6,"Iris-virginica"
"131",131,7.4,2.8,6.1,1.9,"Iris-virginica"
"132",132,7.9,3.8,6.4,2,"Iris-virginica"
"133",133,6.4,2.8,5.6,2.2,"Iris-virginica"
